idProposicao,codTema
2481874,34
2481874,76
2481875,34
2481875,76
2482075,34
2482075,35
2482075,43
2482075,70
2482076,43
2482079,67
2482079,48
2482081,67
2482081,66
2482103,35
2482103,42
2482103,43
2482106,44
2482106,56
2482108,44
2482108,56
2482114,46
2482114,54
2482114,52
2482114,56
2482116,43
2482117,41
2482117,44
2482120,34
2482120,51
2482121,61
2482122,61
2482124,67
2482124,44
2482124,66
2482126,37
2482126,67
2482126,60
2482128,46
2482128,39
2482128,58
2482131,34
2482131,37
2482131,56
2482135,62
2482135,44
2482135,56
2482138,41
2482138,44
2482138,56
2482140,42
2482140,43
2482140,48
2482155,68
2482155,46
2482155,53
2482156,64
2482156,44
2482156,70
2482156,58
2482157,35
2482157,67
2482157,39
2482162,70
2482162,48
2482162,56
2482171,34
2482171,41
2482171,70
2482171,61
2482173,34
2482173,35
2482173,41
2482173,70
2482173,48
2482176,34
2482176,41
2482176,61
2482178,35
2482178,72
2482178,60
2482180,37
2482180,42
2482180,67
2482180,44
2482183,35
2482183,72
2482183,48
2482207,43
2482207,44
2482207,58
2482215,42
2482215,43
2482215,44
2482217,34
2482217,57
2482217,76
2482217,43
2482217,70
2482220,44
2482220,56
2482223,67
2482223,66
2482225,62
2482225,42
2482228,37
2482228,67
2482230,54
2482230,48
2482236,44
2482236,40
2482236,70
2482249,43
2482249,40
2482250,41
2482250,44
2482252,37
2482252,57
2482252,44
2482258,43
2482258,44
2482264,46
2482266,41
2482266,61
2482267,34
2482267,70
2482269,34
2482269,35
2482269,44
2482273,70
2482273,48
2482274,58
2482275,44
2482275,74
2482275,58
2482276,43
2482276,44
2482278,44
2482278,61
2482279,43
2482279,44
2482280,34
2482280,43
2482281,35
2482281,39
2482281,72
2482290,43
2482290,44
2482290,52
2482292,41
2482292,44
2482292,61
2482294,34
2482294,44
2482294,39
2482296,41
2482296,70
2482296,61
2482298,35
2482298,72
2482298,60
2482300,46
2482300,56
2482300,58
2482301,44
2482301,70
2482301,52
2482306,44
2482306,46
2482306,52
2482306,56
2482309,44
2482309,46
2482309,56
2482311,44
2482311,52
2482311,56
2482318,44
2482318,72
2482318,56
2482373,44
2482373,48
2482373,56
2482375,44
2482375,56
2482375,58
2482378,44
2482378,48
2482378,56
2482380,35
2482380,40
2482380,72
2482380,60
2482383,44
2482383,70
2482383,52
2482384,44
2482384,39
2482384,56
2482384,58
2482385,44
